country_mentioned,author_country,weight,x,y,from,name,xend,yend,to
china,poland,0.024390243902439025,19.39012835,52.12759564,175,China,103.81907349,36.56176546,42
china,taiwan,0.24390243902439024,120.95427281,23.7539928,222,China,103.81907349,36.56176546,42
china,united states,0.14634146341463414,-112.4616737,45.6795472,227,China,103.81907349,36.56176546,42
colombia,spain,0.024390243902439025,-3.64755047,40.24448698,67,Colombia,-73.08114582,3.91383431,48
congo,france,0.024390243902439025,-2.76172945,42.17344011,73,Congo,15.21965762,-0.83787463,46
cuba,united states,0.024390243902439025,-112.4616737,45.6795472,227,Cuba,-79.01605384,21.62289528,52
cyprus,canada,0.024390243902439025,-98.30777028,61.36206324,26,Cyprus,33.0060022,34.91667211,56
egypt,australia,0.024390243902439025,134.49100008,-25.73288704,16,Egypt,29.86190099,26.49593311,65
egypt,japan,0.024390243902439025,138.03089558,37.59230135,111,Egypt,29.86190099,26.49593311,65
egypt,kuwait,0.024390243902439025,47.58700459,29.33431262,121,Egypt,29.86190099,26.49593311,65
egypt,netherlands,0.04878048780487805,5.28144793,52.1007899,162,Egypt,29.86190099,26.49593311,65
egypt,united states,0.04878048780487805,-112.4616737,45.6795472,227,Egypt,29.86190099,26.49593311,65
estonia,lithuania,0.024390243902439025,23.88719355,55.32610984,130,Estonia,25.54248537,58.67192972,68
finland,sweden,0.024390243902439025,16.74558049,62.77966519,206,Finland,26.2746656,64.49884603,70
france,brazil,0.024390243902439025,-53.09783113,-10.78777702,34,France,-2.76172945,42.17344011,73
france,canada,0.04878048780487805,-98.30777028,61.36206324,26,France,-2.76172945,42.17344011,73
france,united kingdom,0.04878048780487805,-2.86563164,54.12387156,77,France,-2.76172945,42.17344011,73
gabon,canada,0.024390243902439025,-98.30777028,61.36206324,26,Gabon,11.7886287,-0.58660025,76
georgia,united states,0.2926829268292683,-112.4616737,45.6795472,227,Georgia,43.50780252,42.16855755,78
germany,algeria,0.024390243902439025,2.61732301,28.15893849,63,Germany,10.38578051,51.10698181,58
germany,australia,0.024390243902439025,134.49100008,-25.73288704,16,Germany,10.38578051,51.10698181,58
germany,belgium,0.02168021680216802,4.64065114,50.63981576,20,Germany,10.38578051,51.10698181,58
germany,china,0.17073170731707318,103.81907349,36.56176546,42,Germany,10.38578051,51.10698181,58
germany,croatia,0.024390243902439025,16.40412899,45.08047631,94,Germany,10.38578051,51.10698181,58
germany,egypt,0.024390243902439025,29.86190099,26.49593311,65,Germany,10.38578051,51.10698181,58
germany,finland,0.024390243902439025,26.2746656,64.49884603,70,Germany,10.38578051,51.10698181,58
germany,france,0.04878048780487805,-2.76172945,42.17344011,73,Germany,10.38578051,51.10698181,58
germany,greece,0.04878048780487805,22.95555794,39.07469623,85,Germany,10.38578051,51.10698181,58
germany,hungary,0.04878048780487805,19.39559116,47.16277506,96,Germany,10.38578051,51.10698181,58
germany,india,0.07317073170731707,79.6119761,22.88578212,99,Germany,10.38578051,51.10698181,58
germany,iran,0.07317073170731707,54.27407004,32.57503292,103,Germany,10.38578051,51.10698181,58
germany,ireland,0.024390243902439025,-8.13793569,53.1754487,102,Germany,10.38578051,51.10698181,58
germany,italy,0.07317073170731707,12.07001339,42.79662641,107,Germany,10.38578051,51.10698181,58
germany,japan,0.024390243902439025,138.03089558,37.59230135,111,Germany,10.38578051,51.10698181,58
germany,malaysia,0.024390243902439025,109.69762284,3.78986846,154,Germany,10.38578051,51.10698181,58
germany,netherlands,0.04878048780487805,5.28144793,52.1007899,162,Germany,10.38578051,51.10698181,58
germany,portugal,0.024390243902439025,-8.50104361,39.59550671,178,Germany,10.38578051,51.10698181,58
germany,south africa,0.04878048780487805,25.08390093,-29.00034095,239,Germany,10.38578051,51.10698181,58
