name,lc_name,lon,lat,id
S. Geo. and S. Sandw. Is.,s. geo. and s. sandw. is.,-36.43318388,-54.46488248,192
Saint Helena,saint helena,-9.54779416,-12.40355951,193
Solomon Is.,solomon is.,159.63287668,-8.92178022,194
Sierra Leone,sierra leone,-11.79271247,8.56329593,195
El Salvador,el salvador,-88.87164469,13.73943744,196
San Marino,san marino,12.45922334,43.94186747,197
Somaliland,somaliland,46.25198395,9.73345496,198
Somalia,somalia,45.70714487,4.75062876,199
St. Pierre and Miquelon,st. pierre and miquelon,-56.30319779,46.91918789,200
Serbia,serbia,20.78958334,44.2215032,201
SÃ£o TomÃ© and Principe,sã£o tomã© and principe,6.72429658,0.44391445,202
Suriname,suriname,-55.9123457,4.13055413,203
Slovakia,slovakia,19.47905218,48.70547528,204
Slovenia,slovenia,14.80444238,46.11554772,205
Sweden,sweden,16.74558049,62.77966519,206
Swaziland,swaziland,31.4819369,-26.55843045,207
Sint Maarten,sint maarten,-63.05713363,18.05081728,208
Seychelles,seychelles,55.47603279,-4.66099094,209
Syria,syria,38.50788204,35.02547389,210
Turks and Caicos Is.,turks and caicos is.,-71.97387881,21.83047572,211
Chad,chad,18.64492513,15.33333758,212
Togo,togo,0.96232845,8.52531356,213
Thailand,thailand,101.0028813,15.11815794,214
Tajikistan,tajikistan,71.01362631,38.5304539,215
Turkmenistan,turkmenistan,59.37100021,39.11554137,216
Timor-Leste,timor-leste,125.84438982,-8.82889162,217
Tonga,tonga,-174.80987341,-20.42843174,218
Trinidad and Tobago,trinidad and tobago,-61.26567923,10.45733408,219
Tunisia,tunisia,9.55288359,34.11956246,220
Turkey,turkey,35.16895346,39.0616029,221
Taiwan,taiwan,120.95427281,23.7539928,222
Tanzania,tanzania,34.81309981,-6.27565408,223
Uganda,uganda,32.36907971,1.27469299,224
Ukraine,ukraine,31.38326469,48.99656673,225
Uruguay,uruguay,-56.01807053,-32.79951534,226
United States,united states,-112.4616737,45.6795472,227
Uzbekistan,uzbekistan,63.14001528,41.75554225,228
Vatican,vatican,12.43387177,41.90174985,229
St. Vin. and Gren.,st. vin. and gren.,-61.20129695,13.22472269,230
Venezuela,venezuela,-66.18184123,7.12422421,231
British Virgin Is.,british virgin is.,-64.47146992,18.52585755,232
U.S. Virgin Is.,u.s. virgin is.,-64.80301538,17.95500624,233
Vietnam,vietnam,106.29914698,16.6460167,234
Vanuatu,vanuatu,167.68644636,-16.22640909,235
Wallis and Futuna Is.,wallis and futuna is.,-177.34834825,-13.88737039,236
Samoa,samoa,-172.16485064,-13.75324346,237
Yemen,yemen,47.58676189,15.90928005,238
South Africa,south africa,25.08390093,-29.00034095,239
Zambia,zambia,27.77475946,-13.45824152,240
Zimbabwe,zimbabwe,29.8514412,-19.00420419,241
